Time,EventName,PID,PName,saddr,sport,daddr,dport
4904.1724,TcpIp/Send,3432,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80
5191.4327,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80
5191.7417,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,220",151.101.0.64,80
5259.5058,TcpIp/Send,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5285.7060,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5285.7069,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5285.7125,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5286.1977,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5286.1982,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5286.1997,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5299.6576,TcpIp/Send,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5324.8420,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5338.2442,TcpIp/Send,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5367.3835,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
5367.3867,TcpIp/Recv,3432,ccsetup574,10.0.2.15,"49,221",5.62.40.69,443
